TIME,LOGL,VPH
0.00000000000000E+00,3.53021174412147E+01,2.50936371533801E-07
1.00000000000000E-02,3.55000321701416E+01,2.73665225223232E+02
2.00000000000000E-02,3.57228965207264E+01,6.28943527478889E+02
2.99999999999999E-02,3.60123575868869E+01,1.05924957316972E+03
4.00000000000000E-02,3.64004130435293E+01,1.56200673766190E+03
5.00000000000000E-02,3.68960633286567E+01,2.14151703057059E+03
5.99999999999999E-02,3.71351232842033E+01,2.79498210569355E+03
7.00000000000000E-02,3.72470094233225E+01,3.50644150095757E+03
8.00000000000000E-02,3.73781686161690E+01,4.26843954167731E+03
8.99999999999999E-02,3.73086913322730E+01,5.06942447115791E+03
1.00000000000000E-01,3.71889485859080E+01,5.89558064811878E+03
1.10000000000000E-01,3.70902081762668E+01,6.74407472611847E+03
1.19999999999999E-01,3.70066039912611E+01,7.60764064590418E+03
1.30000000000000E-01,3.69341470772590E+01,8.48471908312566E+03
1.40000000000000E-01,3.68702542313805E+01,9.37200364250752E+03
1.49999999999999E-01,3.68131580615103E+01,1.02683050169211E+04
1.60000000000000E-01,3.67615906103305E+01,1.11726165736356E+04
1.70000000000000E-01,3.67146094575038E+01,1.20838967202354E+04
1.79999999999999E-01,3.66365203173684E+01,1.30010491035301E+04
1.90000000000000E-01,3.65210585582932E+01,1.39237068887450E+04
2.00000000000000E-01,3.64197428663717E+01,1.48513701148166E+04
2.09999999999999E-01,3.63412944148974E+01,1.57841699905822E+04
2.20000000000000E-01,3.62993526468746E+01,1.67200028150671E+04
2.30000000000000E-01,3.62526065580985E+01,1.76615306496139E+04
2.39999999999999E-01,3.61681852721213E+01,1.86059964350571E+04
2.50000000000000E-01,3.60932974271511E+01,1.95529474653178E+04
2.60000000000000E-01,3.60270451388489E+01,2.05040832074741E+04
2.70000000000000E-01,3.59804329440421E+01,2.14568350043155E+04
2.80000000000000E-01,3.59538796442522E+01,2.24139929424377E+04
2.89999999999999E-01,3.59367381116380E+01,2.33726637046269E+04
2.99999999999999E-01,3.59214354080947E+01,2.43331525385018E+04
3.09999999999999E-01,3.59077487598673E+01,2.52974181276113E+04
3.20000000000000E-01,3.58954936877314E+01,2.62623387761381E+04
3.30000000000000E-01,3.58845057567793E+01,2.72307471317904E+04
3.40000000000000E-01,3.58746448633247E+01,2.81994881301884E+04
3.50000000000000E-01,3.58663850701131E+01,2.91714592899371E+04
3.59999999999999E-01,3.58642241417842E+01,3.01435966292396E+04
3.69999999999999E-01,3.58622685306964E+01,3.11188633842529E+04
3.80000000000000E-01,3.58609806059921E+01,3.20947588585868E+04
3.90000000000000E-01,3.58606002429364E+01,3.30732681571367E+04
4.00000000000000E-01,3.58602921082078E+01,3.40520593570101E+04
4.10000000000000E-01,3.58600401716229E+01,3.50325662506501E+04
4.19999999999999E-01,3.58598490128158E+01,3.60139319946804E+04
4.29999999999999E-01,3.58596988199898E+01,3.69968313857153E+04
4.40000000000000E-01,3.58595998005669E+01,3.79816313266677E+04
4.50000000000000E-01,3.58595456992495E+01,3.89660997091403E+04
4.60000000000000E-01,3.58595274055378E+01,3.99526221275967E+04
4.70000000000000E-01,3.58597409522956E+01,4.09400583813026E+04
4.79999999999999E-01,3.58606114647599E+01,4.19273325410820E+04
4.89999999999999E-01,3.58614768457985E+01,4.29175055091709E+04
5.00000000000000E-01,3.58623228446570E+01,4.39070488233564E+04
5.10000000000000E-01,3.58631536556799E+01,4.48974777351264E+04
5.20000000000000E-01,3.58642364372162E+01,4.58899721556872E+04
5.30000000000000E-01,3.58660654775082E+01,4.68822144797152E+04
5.40000000000000E-01,3.58678708190260E+01,4.78754638048066E+04
5.50000000000000E-01,3.58696381441889E+01,4.88693305832217E+04
5.60000000000000E-01,3.58713776643956E+01,4.98638127015746E+04
5.70000000000000E-01,3.58730828874223E+01,5.08592130837455E+04
5.79999999999999E-01,3.58747629485045E+01,5.18549586070471E+04
5.89999999999999E-01,3.58764189795302E+01,5.28512541549173E+04
5.99999999999999E-01,3.58780422908696E+01,5.38475600112246E+04
6.09999999999999E-01,3.58796407466889E+01,5.48457957227602E+04
6.19999999999999E-01,3.58803697956094E+01,5.58436591614958E+04
6.30000000000000E-01,3.58767142934913E+01,5.68411177534353E+04
6.40000000000000E-01,3.58733715994914E+01,5.78405670881951E+04
6.50000000000000E-01,3.58705451828949E+01,5.88382110356814E+04
6.60000000000000E-01,3.58677918291056E+01,5.98379979765826E+04
6.70000000000000E-01,3.58651060419078E+01,6.08381386444146E+04
