TIME,LOGL,VPH
0.000000000000000E+00,3.569725339552930E+01,3.526440863417540E-07
1.000000000000000E-02,3.590807118189510E+01,4.156104984559600E+02
2.000000000000000E-02,3.617353451331970E+01,9.083550041166260E+02
2.999999999999990E-02,3.655320464064470E+01,1.477267706126680E+03
4.000000000000000E-02,3.666685123325900E+01,2.116478167309310E+03
5.000000000000000E-02,3.677839350161160E+01,2.806591927608470E+03
5.999999999999990E-02,3.696450589501910E+01,3.539347240515890E+03
7.000000000000000E-02,3.724085110439320E+01,4.311622452309890E+03
8.000000000000000E-02,3.760621778323290E+01,5.124208363112730E+03
8.999999999999990E-02,3.769579510131810E+01,5.976550994273310E+03
1.000000000000000E-01,3.755266808552450E+01,6.854748372978200E+03
1.100000000000000E-01,3.743749511547230E+01,7.755965510300860E+03
1.199999999999990E-01,3.734281868268470E+01,8.671076546002790E+03
1.300000000000000E-01,3.720570683693400E+01,9.597380799745420E+03
1.400000000000000E-01,3.710159478444380E+01,1.053453113400730E+04
1.499999999999990E-01,3.703063780659040E+01,1.147986501363940E+04
1.600000000000000E-01,3.696909598090420E+01,1.243088274635480E+04
1.700000000000000E-01,3.691512475803260E+01,1.338871746239380E+04
1.799999999999990E-01,3.686732881884930E+01,1.435127436898650E+04
1.900000000000000E-01,3.682946642492220E+01,1.531889983133850E+04
2.000000000000000E-01,3.679787197523560E+01,1.629025929459000E+04
2.099999999999990E-01,3.676872886549230E+01,1.726661661039640E+04
2.200000000000000E-01,3.674172021663400E+01,1.824486441363260E+04
2.300000000000000E-01,3.671657860822760E+01,1.922787640936960E+04
2.399999999999990E-01,3.667919057704870E+01,2.021326424945190E+04
2.500000000000000E-01,3.657213926766040E+01,2.120079226373670E+04
2.600000000000000E-01,3.647798981072890E+01,2.219240341140840E+04
2.700000000000000E-01,3.641152602445570E+01,2.318436097415000E+04
2.800000000000000E-01,3.637830983310080E+01,2.417934718667800E+04
2.899999999999990E-01,3.634879642070470E+01,2.517557536653360E+04
