TIME,LOGL,VPH
0.00000000000000E+00,3.49279779471603E+01,2.81991245945427E-07
1.00000000000000E-02,3.50844364625175E+01,2.63927658408927E+02
2.00000000000000E-02,3.52567625059101E+01,6.18324075171654E+02
2.99999999999999E-02,3.54600468506017E+01,1.05400848479074E+03
4.00000000000000E-02,3.57356820905107E+01,1.56555824035825E+03
5.00000000000000E-02,3.60906382606104E+01,2.15351715739522E+03
5.99999999999999E-02,3.63712981264624E+01,2.81665741366281E+03
7.00000000000000E-02,3.65306096398608E+01,3.54107924381955E+03
8.00000000000000E-02,3.67446158889245E+01,4.32206207355650E+03
8.99999999999999E-02,3.68111742710272E+01,5.15290695868361E+03
1.00000000000000E-01,3.67371927804813E+01,6.01696821107248E+03
1.10000000000000E-01,3.66916141045316E+01,6.91130143465599E+03
1.19999999999999E-01,3.66702862506835E+01,7.82668875731093E+03
1.30000000000000E-01,3.66704634852122E+01,8.76135755933145E+03
1.40000000000000E-01,3.66891581421936E+01,9.71453345952103E+03
1.49999999999999E-01,3.67085257840034E+01,1.06837704025131E+04
1.60000000000000E-01,3.66997283343486E+01,1.16685369663671E+04
1.70000000000000E-01,3.66471433306000E+01,1.26634776687655E+04
1.79999999999999E-01,3.65430589436183E+01,1.36690719156115E+04
1.90000000000000E-01,3.64496516555640E+01,1.46819997061088E+04
2.00000000000000E-01,3.63677565301488E+01,1.57026660909585E+04
2.09999999999999E-01,3.63091374826236E+01,1.67305820508266E+04
2.20000000000000E-01,3.62656674313831E+01,1.77641279423524E+04
2.30000000000000E-01,3.62264479047782E+01,1.88019503626725E+04
2.39999999999999E-01,3.61511317334475E+01,1.98443371403731E+04
2.50000000000000E-01,3.60722199962778E+01,2.08915751684707E+04
2.60000000000000E-01,3.60017219518521E+01,2.19426272087454E+04
2.70000000000000E-01,3.59388282625518E+01,2.29959595500233E+04
2.80000000000000E-01,3.58970916250619E+01,2.40543689811596E+04
2.89999999999999E-01,3.58732190650368E+01,2.51153962303292E+04
2.99999999999999E-01,3.58516502583718E+01,2.61787674149174E+04
3.09999999999999E-01,3.58321072286275E+01,2.72453139091243E+04
3.20000000000000E-01,3.58143579062198E+01,2.83135626480527E+04
3.30000000000000E-01,3.57982633084661E+01,2.93850361533529E+04
3.40000000000000E-01,3.57835659194610E+01,3.04581704628781E+04
3.50000000000000E-01,3.57701064445576E+01,3.15338345146284E+04
3.59999999999999E-01,3.57577534497355E+01,3.26118524636414E+04
3.69999999999999E-01,3.57500117827334E+01,3.36909475696837E+04
3.80000000000000E-01,3.57321192836647E+01,3.47713566411504E+04
3.90000000000000E-01,3.57119516516418E+01,3.58548635165319E+04
4.00000000000000E-01,3.56932728189587E+01,3.69390054430885E+04
4.10000000000000E-01,3.56759945483099E+01,3.80250375791455E+04
4.19999999999999E-01,3.56600274654051E+01,3.91121297163840E+04
4.29999999999999E-01,3.56452953462322E+01,4.02006760620040E+04
4.40000000000000E-01,3.56317184973871E+01,4.12904572523925E+04
4.50000000000000E-01,3.56214779276114E+01,4.23813008364496E+04
4.60000000000000E-01,3.56167334929295E+01,4.34738136998453E+04
4.70000000000000E-01,3.56123613152969E+01,4.45665229028182E+04
4.79999999999999E-01,3.56083286821509E+01,4.56602456540993E+04
4.89999999999999E-01,3.56048693515283E+01,4.67559028682533E+04
5.00000000000000E-01,3.56022371769422E+01,4.78521208558493E+04
5.10000000000000E-01,3.56001927478277E+01,4.89485718926488E+04
5.20000000000000E-01,3.55986484030108E+01,5.00467338955171E+04
5.30000000000000E-01,3.55972879266310E+01,5.11441634278542E+04
5.40000000000000E-01,3.55960952918601E+01,5.22437627291923E+04
5.50000000000000E-01,3.55950628972872E+01,5.33433014758391E+04
5.60000000000000E-01,3.55941751224614E+01,5.44435689551195E+04
5.70000000000000E-01,3.55934197012062E+01,5.55445649937342E+04
5.79999999999999E-01,3.55927891279170E+01,5.66456939492645E+04
5.89999999999999E-01,3.55935116693713E+01,5.77487099441860E+04
5.99999999999999E-01,3.55943758987669E+01,5.88499508631973E+04
