TIME,LOGL,VPH
0.00E+00,3.48657522762522E+01,2.77433405712786E-07
1.00E-02,3.50076195664508E+01,2.47452531374650E+02
2.00E-02,3.51428482939561E+01,5.78672376217082E+02
3.00E-02,3.52928088502981E+01,9.84166891667203E+02
4.00E-02,3.54850305747889E+01,1.45674699586108E+03
5.00E-02,3.57152418527500E+01,1.99079711979607E+03
6.00E-02,3.60254717961596E+01,2.58610545307287E+03
7.00E-02,3.64395960419701E+01,3.24199832878703E+03
8.00E-02,3.69211718432936E+01,3.96559253972076E+03
9.00E-02,3.70901307052696E+01,4.75461438360863E+03
1.00E-01,3.69636158344179E+01,5.58440898487692E+03
1.10E-01,3.68714541849239E+01,6.44870341905196E+03
1.20E-01,3.68058013064445E+01,7.33664333299292E+03
1.30E-01,3.67609630754859E+01,8.24380856257456E+03
1.40E-01,3.67328095283436E+01,9.16899812855613E+03
1.50E-01,3.67099561816612E+01,1.01080895219955E+04
1.60E-01,3.66754720122829E+01,1.10602847306427E+04
1.70E-01,3.66200227042717E+01,1.20217249842189E+04
1.80E-01,3.65645151961492E+01,1.29946993060148E+04
1.90E-01,3.65143150572893E+01,1.39731098289251E+04
2.00E-01,3.64685771495729E+01,1.49593013953871E+04
2.10E-01,3.64265679827029E+01,1.59516965081228E+04
2.20E-01,3.63877270780867E+01,1.69500888369250E+04
2.30E-01,3.63516210166271E+01,1.79518336712838E+04
2.40E-01,3.62403674218142E+01,1.89591593573594E+04
2.50E-01,3.61178793313734E+01,1.99698368434204E+04
2.60E-01,3.60084229364809E+01,2.09845521950799E+04
2.70E-01,3.59108930622636E+01,2.20012640777718E+04
2.80E-01,3.58441051971792E+01,2.30232392840756E+04
2.90E-01,3.58095801017646E+01,2.40478808122426E+04
3.00E-01,3.57787441233514E+01,2.50748274945107E+04
3.10E-01,3.57511480651198E+01,2.61042864994608E+04
3.20E-01,3.57264088254476E+01,2.71361522346739E+04
3.30E-01,3.57041852072389E+01,2.81701569022266E+04
3.40E-01,3.56841945136585E+01,2.92061942684606E+04
3.50E-01,3.56661859321357E+01,3.02453960399471E+04
3.60E-01,3.56499485852062E+01,3.12863554723734E+04
3.70E-01,3.56420034347796E+01,3.23284615564180E+04
3.80E-01,3.56306365175172E+01,3.33710819917941E+04
3.90E-01,3.56182733970106E+01,3.44178570427617E+04
4.00E-01,3.56067949177161E+01,3.54652643516729E+04
4.10E-01,3.55961510188384E+01,3.65131817016305E+04
4.20E-01,3.55862921920054E+01,3.75630934907144E+04
4.30E-01,3.55771635687114E+01,3.86145847568761E+04
4.40E-01,3.55687298728861E+01,3.96666896118578E+04
4.50E-01,3.55621682694753E+01,4.07201005361208E+04
4.60E-01,3.55586799794674E+01,4.17753048972681E+04
4.70E-01,3.55554383401902E+01,4.28308278208881E+04
4.80E-01,3.55524323458569E+01,4.38869601747448E+04
4.90E-01,3.55501374315136E+01,4.49453324355318E+04
5.00E-01,3.55490881572490E+01,4.60038345917334E+04
5.10E-01,3.55481632586285E+01,4.70627514250025E+04
5.20E-01,3.55473549570006E+01,4.81234733537636E+04
5.30E-01,3.55466441651927E+01,4.91829043169606E+04
5.40E-01,3.55460263624253E+01,5.02457964025438E+04
5.50E-01,3.55454957705851E+01,5.13079030268553E+04
5.60E-01,3.55450492015301E+01,5.23705628518737E+04
5.70E-01,3.55446718686899E+01,5.34346433829126E+04
5.80E-01,3.55443615355447E+01,5.44978484605478E+04
5.90E-01,3.55447930116904E+01,5.55634269722351E+04
6.00E-01,3.55453111818440E+01,5.66273753946745E+04
6.10E-01,3.55458440863362E+01,5.76939932041738E+04
6.20E-01,3.55463715785423E+01,5.87587264725252E+04
6.30E-01,3.55469028122169E+01,5.98262820586084E+04
6.40E-01,3.55474227141765E+01,6.08922874242337E+04
6.50E-01,3.55479362812369E+01,6.19595248008658E+04
6.60E-01,3.55484532130883E+01,6.30269301785663E+04
6.70E-01,3.55498012358255E+01,6.40948219450411E+04
6.80E-01,3.55515719905906E+01,6.51625178383548E+04
6.90E-01,3.55533253821989E+01,6.62308327530509E+04
7.00E-01,3.55550512193770E+01,6.72987479164689E+04
7.10E-01,3.55567555090993E+01,6.83656912847688E+04
7.20E-01,3.55584381097141E+01,6.94356414879297E+04
7.30E-01,3.55600971407440E+01,7.05039766902349E+04
7.40E-01,3.55617387534439E+01,7.15722865218370E+04
7.50E-01,3.55633552165613E+01,7.26423821802729E+04
7.60E-01,3.55649515182552E+01,7.37113693161125E+04
7.70E-01,3.55665344990911E+01,7.47791229296726E+04
7.80E-01,3.55652957100031E+01,7.58493015961121E+04
7.90E-01,3.55603383042315E+01,7.69187674452666E+04
8.00E-01,3.55554720685210E+01,7.79871353998827E+04
8.10E-01,3.55506980185444E+01,7.90548848028735E+04
8.20E-01,3.55460203056356E+01,8.01257352163026E+04
8.30E-01,3.55414212001352E+01,8.11949059001230E+04
8.40E-01,3.55369153559791E+01,8.22631646526947E+04
8.50E-01,3.55324859405970E+01,8.33306767952224E+04
8.60E-01,3.55281451080966E+01,8.44004211670790E+04
8.70E-01,3.55238720184442E+01,8.54693553501069E+04
8.80E-01,3.55196848586571E+01,8.65373272904997E+04
8.90E-01,3.55155662958697E+01,8.76047521295705E+04
9.00E-01,3.55115252605387E+01,8.86718616031632E+04
9.10E-01,3.55075496956521E+01,8.97391623905949E+04
9.20E-01,3.55036476376758E+01,9.08076153963475E+04
9.30E-01,3.54998086678978E+01,9.18712765537713E+04
9.40E-01,3.54960398045273E+01,9.29395153084262E+04
9.50E-01,3.54714093393767E+01,9.40066953363257E+04
9.60E-01,3.54383417019489E+01,9.50728691475854E+04
9.70E-01,3.54072021707588E+01,9.61392371522972E+04
9.80E-01,3.53780028969590E+01,9.72046228301221E+04
9.90E-01,3.53507126227972E+01,9.82701449626983E+04
1.00E+00,3.53253206414487E+01,9.93344999300442E+04
1.01E+00,3.53017653071121E+01,1.00399574257327E+05
1.02E+00,3.52800023051476E+01,1.01463286465590E+05
1.03E+00,3.52599484369704E+01,1.02526993726028E+05
1.04E+00,3.52415459970422E+01,1.03589719871295E+05
1.05E+00,3.52247653092974E+01,1.04652471400619E+05
1.06E+00,3.52094081564285E+01,1.05714419302012E+05
1.07E+00,3.51949589301922E+01,1.06775355023263E+05
1.08E+00,3.51818288878839E+01,1.07836706414506E+05
1.09E+00,3.51699422564948E+01,1.08898167860865E+05
1.10E+00,3.51591881976365E+01,1.09959302874549E+05
1.11E+00,3.51495136878355E+01,1.11019527933632E+05
1.12E+00,3.51408160794556E+01,1.12078639833203E+05
1.13E+00,3.51329910422108E+01,1.13137970246410E+05
1.14E+00,3.51260085966130E+01,1.14196709021778E+05
1.15E+00,3.51197504451732E+01,1.15254405720971E+05
1.16E+00,3.51141743483519E+01,1.16311048507487E+05
1.17E+00,3.51092125744928E+01,1.17365846872273E+05
1.18E+00,3.51047787471356E+01,1.18419788326656E+05
1.19E+00,3.51008530124738E+01,1.19477876765465E+05
1.20E+00,3.50973673015795E+01,1.20530885892306E+05
1.21E+00,3.50942650806210E+01,1.21586027531350E+05
1.22E+00,3.50915309327091E+01,1.22638912492640E+05
1.23E+00,3.50891090593871E+01,1.23690480181439E+05
1.24E+00,3.50869594468031E+01,1.24744101806041E+05
1.25E+00,3.50846418500741E+01,1.25792994860575E+05
1.26E+00,3.50824297238722E+01,1.26845353732837E+05
1.27E+00,3.50804033603416E+01,1.27894385513954E+05
1.28E+00,3.50785820092240E+01,1.28943289145292E+05
1.29E+00,3.50769679491504E+01,1.29991755816761E+05
1.30E+00,3.50757694251079E+01,1.31036954386935E+05
1.31E+00,3.50746641414462E+01,1.32086799872892E+05
1.32E+00,3.50736330449021E+01,1.33129030560709E+05
1.33E+00,3.50726460650930E+01,1.34176573028545E+05
1.34E+00,3.50717308025949E+01,1.35214745894002E+05
1.35E+00,3.50708780860858E+01,1.36258356337006E+05
1.36E+00,3.50700637798645E+01,1.37305346657772E+05
1.37E+00,3.50692771676401E+01,1.38348817311943E+05
1.38E+00,3.50685538548487E+01,1.39387715812040E+05
1.39E+00,3.50678622195742E+01,1.40427910873971E+05
1.40E+00,3.50672108097781E+01,1.41468031131152E+05
1.41E+00,3.50665662832547E+01,1.42505860040129E+05
1.42E+00,3.50659727990347E+01,1.43543198552463E+05
1.43E+00,3.50654031966369E+01,1.44579602654813E+05
1.44E+00,3.50648603828563E+01,1.45615528801194E+05
1.45E+00,3.50643405662246E+01,1.46649528407137E+05
1.46E+00,3.50638254776787E+01,1.47682077162190E+05
1.47E+00,3.50633484770184E+01,1.48714616991266E+05
1.48E+00,3.50618900260042E+01,1.49747486893599E+05
1.49E+00,3.50588528826744E+01,1.50779243410475E+05
1.50E+00,3.50559353416514E+01,1.51808261009926E+05
1.51E+00,3.50531119848290E+01,1.52836409892677E+05
1.52E+00,3.50504289549293E+01,1.53863122708813E+05
1.53E+00,3.50478631845012E+01,1.54887086949384E+05
1.54E+00,3.50454087261974E+01,1.55912010609991E+05
1.55E+00,3.50430634814680E+01,1.56937797017798E+05
1.56E+00,3.50408291430162E+01,1.57962433780895E+05
1.57E+00,3.50386926201552E+01,1.58985657868219E+05
1.58E+00,3.50366771673634E+01,1.60006397425559E+05
1.59E+00,3.50373926820995E+01,1.61061169649587E+05
1.60E+00,3.51620317702917E+01,1.64517551593827E+05
1.61E+00,3.55512319246805E+01,2.07684651686662E+05
1.62E+00,3.56503763498327E+01,5.35263415613061E+05
1.63E+00,3.57474463506173E+01,1.73087047000979E+06
1.64E+00,3.58366941289713E+01,4.45314639202197E+06
