TIME,LOGL,VPH
0.00E+00,3.59127266827751E+01,6.71822384808418E-07
1.00E-02,3.62448344481547E+01,6.77705155593543E+02
2.00E-02,3.67123353560389E+01,1.46230282244623E+03
3.00E-02,3.74187866322238E+01,2.35468430212575E+03
4.00E-02,3.78654615248453E+01,3.36442713088693E+03
5.00E-02,3.76901479995708E+01,4.45717116795256E+03
6.00E-02,3.75123369284924E+01,5.60043691788599E+03
7.00E-02,3.73763185368486E+01,6.77937638316371E+03
8.00E-02,3.72670117179493E+01,7.98155632026200E+03
9.00E-02,3.71759178855899E+01,9.20241575563005E+03
1.00E-01,3.70980117470932E+01,1.04370541453519E+04
1.10E-01,3.70301117928792E+01,1.16837949111835E+04
1.20E-01,3.69700542034754E+01,1.29397110343034E+04
1.30E-01,3.68459706970208E+01,1.42045233773686E+04
1.40E-01,3.67545379124928E+01,1.54776055460994E+04
1.50E-01,3.66557868597768E+01,1.67567815959632E+04
1.60E-01,3.65047308160186E+01,1.80420657633093E+04
1.70E-01,3.63952617998065E+01,1.93322420847694E+04
1.80E-01,3.63395007719818E+01,2.06271790111170E+04
1.90E-01,3.62985219732897E+01,2.19256369581011E+04
2.00E-01,3.62673127441444E+01,2.32296082019223E+04
2.10E-01,3.62406895977886E+01,2.45375106930999E+04
2.20E-01,3.62178996226918E+01,2.58484431552581E+04
2.30E-01,3.62067404122821E+01,2.71635086384267E+04
2.40E-01,3.62028120197935E+01,2.84803402849247E+04
2.50E-01,3.61993270270034E+01,2.97995728325775E+04
2.60E-01,3.61973842771794E+01,3.11224753390277E+04
2.70E-01,3.61958292098275E+01,3.24458362612232E+04
2.80E-01,3.61944922881597E+01,3.37750901945676E+04
2.90E-01,3.61933330030230E+01,3.51039477070930E+04
3.00E-01,3.61923451649956E+01,3.64331472185692E+04
3.10E-01,3.61924311671243E+01,3.77664748797162E+04
3.20E-01,3.61935630767499E+01,3.91021128476564E+04
3.30E-01,3.61946740854984E+01,4.04363722737364E+04
3.40E-01,3.61957713235604E+01,4.17730898225926E+04
3.50E-01,3.61971428166223E+01,4.31143377254310E+04
3.60E-01,3.61991060502211E+01,4.44566201701286E+04
3.70E-01,3.62010378986644E+01,4.57998473944988E+04
3.80E-01,3.62029279783798E+01,4.71441658983978E+04
3.90E-01,3.62047703078427E+01,4.84897363387418E+04
4.00E-01,3.62065758295011E+01,4.98340933431029E+04
4.10E-01,3.62077759641160E+01,5.11811842645069E+04
4.20E-01,3.62048698199118E+01,5.25305760934244E+04
4.30E-01,3.62033743458760E+01,5.38809278096505E+04
4.40E-01,3.62020298207424E+01,5.52289393489952E+04
4.50E-01,3.62007644632821E+01,5.65796923039109E+04
4.60E-01,3.61995582961648E+01,5.79317791803854E+04
4.70E-01,3.61984226360006E+01,5.92848354294508E+04
4.80E-01,3.61973409514591E+01,6.06377152449833E+04
4.90E-01,3.61963126410682E+01,6.19907431091212E+04
5.00E-01,3.61872113546363E+01,6.33462376891236E+04
5.10E-01,3.61596776130862E+01,6.47017575462914E+04
5.20E-01,3.61349019152076E+01,6.60558860776756E+04
5.30E-01,3.61128045235556E+01,6.74136521235340E+04
5.40E-01,3.60932173300623E+01,6.87709561711781E+04
5.50E-01,3.60759582212926E+01,7.01291433402533E+04
5.60E-01,3.60607930419554E+01,7.14865663538531E+04
5.70E-01,3.60474914390639E+01,7.28463485601408E+04
5.80E-01,3.60358060392975E+01,7.42045345356193E+04
5.90E-01,3.60255198567571E+01,7.55652815439337E+04
6.00E-01,3.60164139642280E+01,7.69245586444434E+04
6.10E-01,3.59821260112214E+01,7.82845952747756E+04
6.20E-01,3.59462344454477E+01,7.96458744744086E+04
6.30E-01,3.59142047439490E+01,8.10043295846456E+04
6.40E-01,3.58858614792464E+01,8.23645914299986E+04
6.50E-01,3.58609633249184E+01,8.37226305804611E+04
6.60E-01,3.58392274568421E+01,8.50827647587348E+04
6.70E-01,3.58204124329912E+01,8.64455307604411E+04
6.80E-01,3.58042077098210E+01,8.78078071474557E+04
6.90E-01,3.57904324327515E+01,8.91680183108029E+04
7.00E-01,3.57786474076917E+01,9.05315348529548E+04
7.10E-01,3.57685896487089E+01,9.18936162474107E+04
7.20E-01,3.57600481806609E+01,9.32550083331467E+04
7.30E-01,3.57527764945707E+01,9.46185072475744E+04
7.40E-01,3.57466395461071E+01,9.59811868703000E+04
7.50E-01,3.57414223819445E+01,9.73420380006624E+04
7.60E-01,3.57370207789588E+01,9.87042452143101E+04
7.70E-01,3.57332868858947E+01,1.00063751102976E+05
7.80E-01,3.57301372090664E+01,1.01428391577402E+05
7.90E-01,3.57274808562712E+01,1.02791455218056E+05
8.00E-01,3.57252122297744E+01,1.04150862594527E+05
8.10E-01,3.57233299765345E+01,1.05515434315332E+05
8.20E-01,3.57217137760713E+01,1.06877779329749E+05
8.30E-01,3.57206081787597E+01,1.08238024597420E+05
8.40E-01,3.57196267904525E+01,1.09602224014538E+05
8.50E-01,3.57187992560092E+01,1.10962778488530E+05
8.60E-01,3.57180522974350E+01,1.12324061739000E+05
8.70E-01,3.57174162836336E+01,1.13683832240666E+05
8.80E-01,3.57168584592403E+01,1.15043308830703E+05
8.90E-01,3.57163672896962E+01,1.16407065059039E+05
9.00E-01,3.57159243869457E+01,1.17765839604823E+05
9.10E-01,3.57155584091357E+01,1.19128088905374E+05
9.20E-01,3.57152336606444E+01,1.20487170107097E+05
9.30E-01,3.57149353147685E+01,1.21844198444703E+05
9.40E-01,3.57147000567007E+01,1.23206126738307E+05
9.50E-01,3.57144762566383E+01,1.24564102991321E+05
9.60E-01,3.57142959470236E+01,1.25925013148548E+05
9.70E-01,3.57141416244307E+01,1.27279747795138E+05
9.80E-01,3.57140067213075E+01,1.28638307398634E+05
9.90E-01,3.57139110451857E+01,1.29996652104061E+05
1.00E+00,3.57138062895255E+01,1.31355292049459E+05
1.01E+00,3.57137285771545E+01,1.32712512138315E+05
1.02E+00,3.57136651325275E+01,1.34066963025124E+05
1.03E+00,3.57136001470787E+01,1.35423184861419E+05
1.04E+00,3.57135735201196E+01,1.36778523826313E+05
1.05E+00,3.57135321595686E+01,1.38135840811263E+05
1.06E+00,3.57135046690695E+01,1.39487556225991E+05
1.07E+00,3.57134904621998E+01,1.40841986480024E+05
1.08E+00,3.57134697586169E+01,1.42195093207021E+05
1.09E+00,3.57134717747326E+01,1.43550901561904E+05
