TIME,LOGL,VPH
0.00E+00,3.47177439670936E+01,2.48617471568507E-07
1.00E-02,3.48018836571840E+01,1.97021611861227E+02
2.00E-02,3.48808308927960E+01,4.56475693494509E+02
3.00E-02,3.49659821861008E+01,7.72142697514173E+02
4.00E-02,3.50606494987213E+01,1.13765570707530E+03
5.00E-02,3.51616372931537E+01,1.54926283419903E+03
6.00E-02,3.52773047690680E+01,2.00318514192862E+03
7.00E-02,3.54184875252944E+01,2.49849668846657E+03
8.00E-02,3.55923593186057E+01,3.03265952122943E+03
9.00E-02,3.57298888527805E+01,3.60428531558318E+03
1.00E-01,3.58395475107476E+01,4.20922127624623E+03
1.10E-01,3.59872592417003E+01,4.84472829865513E+03
1.20E-01,3.61777044881501E+01,5.51018645590198E+03
1.30E-01,3.64154161409800E+01,6.20629347979159E+03
1.40E-01,3.66980683535127E+01,6.93533459563226E+03
1.50E-01,3.69596529688463E+01,7.69812078203695E+03
1.60E-01,3.70892610103969E+01,8.48915803645513E+03
1.70E-01,3.70262858447273E+01,9.30135818902983E+03
1.80E-01,3.69326403350857E+01,1.01294698800296E+04
1.90E-01,3.68516422653848E+01,1.09728387201420E+04
2.00E-01,3.67809218930279E+01,1.18282312303980E+04
2.10E-01,3.67181886916823E+01,1.26930418011464E+04
2.20E-01,3.66618440185839E+01,1.35655041568613E+04
2.30E-01,3.66107269684457E+01,1.44439289173315E+04
2.40E-01,3.65517305960146E+01,1.53302214304776E+04
2.50E-01,3.64945441846497E+01,1.62212614762301E+04
2.60E-01,3.64422566807899E+01,1.71166474927819E+04
2.70E-01,3.63943073482922E+01,1.80176200856710E+04
2.80E-01,3.63533917239024E+01,1.89211627500476E+04
2.90E-01,3.63193098208125E+01,1.98300956916250E+04
3.00E-01,3.62874954769022E+01,2.07409975392211E+04
3.10E-01,3.62577009057371E+01,2.16566141797252E+04
3.20E-01,3.62297093750456E+01,2.25739288259029E+04
3.30E-01,3.62033403170550E+01,2.34945152319130E+04
3.40E-01,3.61784340159592E+01,2.44178459635904E+04
3.50E-01,3.61548572659387E+01,2.53425992238275E+04
3.60E-01,3.61324889824329E+01,2.62696173611677E+04
3.70E-01,3.61122846395968E+01,2.71994320479551E+04
3.80E-01,3.60417268337914E+01,2.81316348198587E+04
3.90E-01,3.59618640613212E+01,2.90653251627364E+04
4.00E-01,3.58878725562074E+01,3.00004982351262E+04
4.10E-01,3.58193903086143E+01,3.09363757915103E+04
4.20E-01,3.57560803668415E+01,3.18757601005949E+04
4.30E-01,3.56976211361495E+01,3.28159711426880E+04
4.40E-01,3.56437075054775E+01,3.37562099485540E+04
4.50E-01,3.56033725480756E+01,3.46999771924407E+04
4.60E-01,3.55848491490703E+01,3.56442853457093E+04
4.70E-01,3.55677456088642E+01,3.65886275490090E+04
4.80E-01,3.55519356241879E+01,3.75361839800994E+04
4.90E-01,3.55373977175389E+01,3.84828009277507E+04
5.00E-01,3.55241096262745E+01,3.94326231610286E+04
5.10E-01,3.55118207262809E+01,4.03813862037373E+04
5.20E-01,3.55004467471184E+01,4.13316307738901E+04
5.30E-01,3.54899141122436E+01,4.22841681240071E+04
5.40E-01,3.54801574376095E+01,4.32361730520393E+04
5.50E-01,3.54711251515817E+01,4.41883367576795E+04
5.60E-01,3.54627587282638E+01,4.51438026846129E+04
5.70E-01,3.54550106502026E+01,4.60985025852930E+04
5.80E-01,3.54478352103889E+01,4.70532636781660E+04
5.90E-01,3.54462493070354E+01,4.80089143004064E+04
6.00E-01,3.54452407954661E+01,4.89667925930347E+04
6.10E-01,3.54444603423890E+01,4.99231648689894E+04
6.20E-01,3.54437056231872E+01,5.08806718653936E+04
6.30E-01,3.54429902366401E+01,5.18402934677576E+04
6.40E-01,3.54423077674024E+01,5.27995051520822E+04
6.50E-01,3.54416507261203E+01,5.37587453021459E+04
6.60E-01,3.54410293507123E+01,5.47160994524791E+04
6.70E-01,3.54405588478715E+01,5.56765455994450E+04
6.80E-01,3.54401866742110E+01,5.66392868788805E+04
6.90E-01,3.54398303527120E+01,5.76011146233405E+04
7.00E-01,3.54395023440920E+01,5.85625376517450E+04
7.10E-01,3.54391899594331E+01,5.95230122279835E+04
7.20E-01,3.54388939446687E+01,6.04846830405494E+04
7.30E-01,3.54386184034405E+01,6.14479679507563E+04
7.40E-01,3.54383620673676E+01,6.24110525124281E+04
7.50E-01,3.54381177841482E+01,6.33739854249879E+04
7.60E-01,3.54378903467903E+01,6.43383236715777E+04
7.70E-01,3.54376816428400E+01,6.52984772361885E+04
7.80E-01,3.54378400429084E+01,6.62644627662907E+04
7.90E-01,3.54375469922293E+01,6.72289295721833E+04
8.00E-01,3.54372577197113E+01,6.81918638182357E+04
8.10E-01,3.54369760690393E+01,6.91542200669774E+04
8.20E-01,3.54367048264419E+01,7.01200793821255E+04
8.30E-01,3.54364417316824E+01,7.10841634854135E+04
8.40E-01,3.54361870854478E+01,7.20491072746560E+04
8.50E-01,3.54359391948845E+01,7.30141921633811E+04
8.60E-01,3.54357001419792E+01,7.39775325835034E+04
8.70E-01,3.54354653068955E+01,7.49396355989340E+04
8.80E-01,3.54352403266401E+01,7.59017951811761E+04
8.90E-01,3.54350251232144E+01,7.68716439756915E+04
9.00E-01,3.54853699647978E+01,8.05758129282962E+04
9.10E-01,3.94892527548420E+01,8.83251854470774E+05
9.20E-01,4.14863833360362E+01,1.82689799396350E+07
9.30E-01,4.26310648157002E+01,9.58299620887950E+07
9.40E-01,4.32285219588116E+01,2.20258491278065E+08
9.50E-01,4.33167963790605E+01,3.26887368373224E+08
9.60E-01,4.31669551423914E+01,3.59236216533367E+08
9.70E-01,4.31119516725447E+01,3.54683851339817E+08
9.80E-01,4.31125104273696E+01,3.53928948457864E+08
9.90E-01,4.31089399610023E+01,3.89394972162274E+08
1.00E+00,4.34301836933170E+01,4.27951993184716E+08
1.01E+00,4.34485756167273E+01,4.56014560036956E+08
1.02E+00,4.35272367872411E+01,4.82204532648127E+08
1.03E+00,4.35216349003157E+01,5.08184005398159E+08
1.04E+00,4.34828739740242E+01,5.31109864800029E+08
1.05E+00,4.34141645906420E+01,5.46819947164735E+08
1.06E+00,4.33494585961120E+01,5.56712841242697E+08
1.07E+00,4.32947795441082E+01,5.63403248177333E+08
1.08E+00,4.32477598431206E+01,5.70086590676778E+08
1.09E+00,4.31955962569056E+01,5.80091569084569E+08
1.10E+00,4.31373949329559E+01,5.88731616135217E+08
1.11E+00,4.30822831274750E+01,5.96020485779388E+08
1.12E+00,4.30315825936713E+01,6.01925973176737E+08
1.13E+00,4.29841550677806E+01,6.07156585378915E+08
1.14E+00,4.29394725807201E+01,6.11900639831412E+08
1.15E+00,4.28971749241526E+01,6.16156352890048E+08
1.16E+00,4.28570894491149E+01,6.19868570500511E+08
1.17E+00,4.28187146815043E+01,6.23403902825330E+08
1.18E+00,4.27816462035914E+01,6.26628860325055E+08
1.19E+00,4.27460594302263E+01,6.29701795622041E+08
1.20E+00,4.27121323748283E+01,6.32497675268869E+08
1.21E+00,4.26799660954795E+01,6.35055280086839E+08
1.22E+00,4.26493248718322E+01,6.37511769164778E+08
1.23E+00,4.26196844264085E+01,6.39813809250883E+08
1.24E+00,4.25912538475388E+01,6.41971446301564E+08
1.25E+00,4.25642519899674E+01,6.44035345235898E+08
1.26E+00,4.25387959485369E+01,6.45994364524762E+08
1.27E+00,4.25149729163765E+01,6.47821434439875E+08
1.28E+00,4.24926036366643E+01,6.49546107644639E+08
1.29E+00,4.24713287306598E+01,6.51225899708135E+08
1.30E+00,4.24512086638694E+01,6.52831255941140E+08
1.31E+00,4.24323384993621E+01,6.54340193548720E+08
1.32E+00,4.24147811013859E+01,6.55769190161809E+08
1.33E+00,4.23985507278388E+01,6.57142012511757E+08
