TIME,LOGL,VPH
0.00E+00,3.57994339886833E+01,6.46122134305507E-07
1.00E-02,3.60647327500371E+01,6.45610331155769E+02
2.00E-02,3.64388161956229E+01,1.38649405933435E+03
3.00E-02,3.69943655564387E+01,2.22480268511312E+03
4.00E-02,3.70319203525501E+01,3.15456418764772E+03
5.00E-02,3.70302396496874E+01,4.14164923665557E+03
6.00E-02,3.70981980396802E+01,5.17364560146080E+03
7.00E-02,3.72375916747705E+01,6.24143094219585E+03
8.00E-02,3.74434136152050E+01,7.34526212101184E+03
9.00E-02,3.74729309409427E+01,8.47919768834050E+03
1.00E-01,3.73537011051441E+01,9.63600229566892E+03
1.10E-01,3.72560588471104E+01,1.08091969377429E+04
1.20E-01,3.71743515736572E+01,1.19991608589709E+04
1.30E-01,3.69983090259310E+01,1.31966520161465E+04
1.40E-01,3.68725605039003E+01,1.44041550098737E+04
1.50E-01,3.68000444839740E+01,1.56192226805527E+04
1.60E-01,3.67383872359242E+01,1.68411890307279E+04
1.70E-01,3.66854375612743E+01,1.80691286422507E+04
1.80E-01,3.66395544451328E+01,1.92993261485093E+04
1.90E-01,3.66084521592951E+01,2.05365473637924E+04
2.00E-01,3.65858540525768E+01,2.17795456387322E+04
2.10E-01,3.65650989085583E+01,2.30233373009656E+04
2.20E-01,3.65459511545820E+01,2.42719109084849E+04
2.30E-01,3.65282055098456E+01,2.55244985142317E+04
2.40E-01,3.65023932198167E+01,2.67776915070273E+04
2.50E-01,3.64310929568758E+01,2.80343474323963E+04
2.60E-01,3.63695044584923E+01,2.92958081698521E+04
2.70E-01,3.63263447552757E+01,3.05580206816640E+04
2.80E-01,3.63049462340651E+01,3.18234314528529E+04
2.90E-01,3.62859695001300E+01,3.30900766231119E+04
3.00E-01,3.62691235675809E+01,3.43588074647308E+04
3.10E-01,3.62541434318216E+01,3.56297015248549E+04
3.20E-01,3.62408053911336E+01,3.69003299470596E+04
3.30E-01,3.62289086406370E+01,3.81737950386384E+04
3.40E-01,3.62182826253909E+01,3.94482004060596E+04
3.50E-01,3.62105521423390E+01,4.07249066647353E+04
3.60E-01,3.62108735950340E+01,4.20029553615934E+04
3.70E-01,3.62112719987810E+01,4.32812373618090E+04
3.80E-01,3.62117381230409E+01,4.45624649625949E+04
3.90E-01,3.62122661028651E+01,4.58425935660025E+04
4.00E-01,3.62128447487486E+01,4.71273267515493E+04
4.10E-01,3.62126054793936E+01,4.84114807904183E+04
